head,layer,pair_id,side,target_to_context_mass
7,3,club-lex-0,b,0.9412739276885986
3,2,club-lex-0,b,0.0671103447675705
5,3,club-lex-0,b,0.973893940448761
2,3,club-lex-0,b,0.05276837944984436
0,3,club-lex-0,b,0.9484237432479858
7,3,watch-lex-2,a,0.825498104095459
3,2,watch-lex-2,a,0.20795884728431702
5,3,watch-lex-2,a,0.9700583815574646
2,3,watch-lex-2,a,0.006063047330826521
0,3,watch-lex-2,a,0.9803584218025208
7,3,watch-lex-2,b,0.6886790990829468
3,2,watch-lex-2,b,0.12514403462409973
5,3,watch-lex-2,b,0.9646515250205994
2,3,watch-lex-2,b,0.011764515191316605
0,3,watch-lex-2,b,0.9189038276672363
7,3,watch-lex-3,a,0.8293107151985168
3,2,watch-lex-3,a,0.20561900734901428
5,3,watch-lex-3,a,0.9754365086555481
2,3,watch-lex-3,a,0.018055317923426628
0,3,watch-lex-3,a,0.9880045652389526
7,3,watch-lex-3,b,0.7027071714401245
3,2,watch-lex-3,b,0.09413017332553864
5,3,watch-lex-3,b,0.9529894590377808
2,3,watch-lex-3,b,0.030863702297210693
0,3,watch-lex-3,b,0.9420078992843628
7,3,date-lex-2,a,0.9647673964500427
3,2,date-lex-2,a,0.1490294337272644
5,3,date-lex-2,a,0.9675890207290649
2,3,date-lex-2,a,0.01568165421485901
0,3,date-lex-2,a,0.9802436828613281
7,3,date-lex-2,b,0.9868475198745728
3,2,date-lex-2,b,0.16096746921539307
5,3,date-lex-2,b,0.9922575950622559
2,3,date-lex-2,b,0.08516959846019745
0,3,date-lex-2,b,0.9930031299591064
